----------------------------------LAWS----------------------------------
Law #0: 903, complexity: 28;
Law #1: 396, complexity: 21;
Law #2: 967, complexity: 20;
Law #3: 246, complexity: 5;
Law #4: 523, complexity: 8;
Law #5: 577, complexity: 11;
Law #6: 168, complexity: 28;
Law #7: 774, complexity: 23;
Law #8: 133, complexity: 21;
Law #9: 780, complexity: 39;
Law #10: 1009, complexity: 38;
Law #11: 253, complexity: 13;
Law #12: 576, complexity: 29;
Law #13: 602, complexity: 23;
Law #14: 645, complexity: 34;
Law #15: 468, complexity: 29;
Law #16: 352, complexity: 42;
Law #17: 15, complexity: 53;
Law #18: 276, complexity: 50;
Law #19: 231, complexity: 44;
Law #20: 397, complexity: 50;
Law #21: 129, complexity: 23;
Law #22: 309, complexity: 27;
Law #23: 643, complexity: 48;
Law #24: 1001, complexity: 34;
Law #25: 342, complexity: 60;
Law #26: 343, complexity: 61;
Law #27: 537, complexity: 57;
Law #28: 426, complexity: 47;
Law #29: 640, complexity: 40;
Law #30: 819, complexity: 44;
Law #31: 457, complexity: 56;
Law #32: 836, complexity: 44;
Law #33: 359, complexity: 68;
Law #34: 869, complexity: 59;
Law #35: 462, complexity: 39;
Law #36: 541, complexity: 44;
Law #37: 706, complexity: 44;
Law #38: 508, complexity: 57;
Law #39: 917, complexity: 55;
Law #40: 25, complexity: 42;
Law #41: 56, complexity: 72;
Law #42: 409, complexity: 45;
Law #43: 263, complexity: 51;
Law #44: 461, complexity: 72;
Law #45: 164, complexity: 81;
Law #46: 538, complexity: 67;
Law #47: 594, complexity: 58;
Law #48: 667, complexity: 51;
Law #49: 923, complexity: 59;
Law #50: 828, complexity: 66;
Law #51: 110, complexity: 81;
Law #52: 929, complexity: 89;
Law #53: 977, complexity: 11;
Law #54: 416, complexity: 20;
Law #55: 893, complexity: 10;
Law #56: 808, complexity: 6;
Law #57: 519, complexity: 38;
Law #58: 261, complexity: 32;
Law #59: 654, complexity: 23;
Law #60: 80, complexity: 43;
Law #61: 220, complexity: 30;
Law #62: 686, complexity: 46;
Law #63: 153, complexity: 26;
Law #64: 721, complexity: 22;
Law #65: 502, complexity: 37;
Law #66: 41, complexity: 47;
Law #67: 969, complexity: 51;
Law #68: 876, complexity: 31;
Law #69: 578, complexity: 54;
Law #70: 701, complexity: 38;
Law #71: 990, complexity: 36;
Law #72: 114, complexity: 36;
Law #73: 128, complexity: 27;
Law #74: 242, complexity: 29;
Law #75: 1000, complexity: 35;
Law #76: 319, complexity: 25;
Law #77: 783, complexity: 42;
Law #78: 526, complexity: 56;
Law #79: 465, complexity: 31;
Law #80: 7, complexity: 41;
Law #81: 515, complexity: 41;
Law #82: 801, complexity: 47;
Law #83: 578, complexity: 34;
Law #84: 646, complexity: 58;
Law #85: 576, complexity: 49;
Law #86: 196, complexity: 53;
Law #87: 810, complexity: 61;
Law #88: 127, complexity: 63;
Law #89: 998, complexity: 73;
Law #90: 556, complexity: 70;
Law #91: 885, complexity: 59;
Law #92: 814, complexity: 48;
Law #93: 320, complexity: 61;
Law #94: 56, complexity: 60;
Law #95: 191, complexity: 69;
Law #96: 537, complexity: 45;
Law #97: 186, complexity: 70;
Law #98: 151, complexity: 72;
Law #99: 859, complexity: 79;
Law #100: 779, complexity: 83;
Law #101: 411, complexity: 70;
Law #102: 111, complexity: 51;
Law #103: 525, complexity: 53;
Law #104: 192, complexity: 79;
Law #105: 717, complexity: 56;
Law #106: 491, complexity: 14;
Law #107: 849, complexity: 6;
Law #108: 159, complexity: 32;
Law #109: 1008, complexity: 34;
Law #110: 173, complexity: 31;
Law #111: 915, complexity: 26;
Law #112: 913, complexity: 39;
Law #113: 720, complexity: 40;
Law #114: 456, complexity: 42;
Law #115: 1004, complexity: 46;
Law #116: 378, complexity: 42;
Law #117: 77, complexity: 20;
Law #118: 989, complexity: 46;
Law #119: 809, complexity: 42;
Law #120: 173, complexity: 44;
Law #121: 330, complexity: 37;
Law #122: 588, complexity: 32;
Law #123: 623, complexity: 35;
Law #124: 159, complexity: 56;
Law #125: 385, complexity: 27;
Law #126: 129, complexity: 46;
Law #127: 333, complexity: 33;
Law #128: 871, complexity: 33;
Law #129: 278, complexity: 36;
Law #130: 1006, complexity: 40;
Law #131: 900, complexity: 57;
Law #132: 857, complexity: 41;
Law #133: 546, complexity: 55;
Law #134: 720, complexity: 59;
Law #135: 753, complexity: 64;
Law #136: 622, complexity: 48;
Law #137: 1006, complexity: 61;
Law #138: 893, complexity: 63;
Law #139: 89, complexity: 68;
Law #140: 598, complexity: 72;
Law #141: 601, complexity: 51;
Law #142: 884, complexity: 38;
Law #143: 518, complexity: 74;
Law #144: 186, complexity: 47;
Law #145: 118, complexity: 66;
Law #146: 337, complexity: 44;
Law #147: 216, complexity: 60;
Law #148: 539, complexity: 47;
Law #149: 182, complexity: 78;
Law #150: 474, complexity: 53;
Law #151: 327, complexity: 65;
Law #152: 126, complexity: 62;
Law #153: 58, complexity: 55;
Law #154: 847, complexity: 86;
Law #155: 173, complexity: 60;
Law #156: 381, complexity: 88;
Law #157: 910, complexity: 56;
Law #158: 400, complexity: 86;
Law #159: 373, complexity: 37;
Law #160: 685, complexity: 12;
Law #161: 80, complexity: 16;
Law #162: 788, complexity: 10;
Law #163: 649, complexity: 8;
Law #164: 848, complexity: 27;
Law #165: 127, complexity: 23;
Law #166: 769, complexity: 30;
Law #167: 553, complexity: 33;
Law #168: 746, complexity: 47;
Law #169: 9, complexity: 17;
Law #170: 673, complexity: 19;
Law #171: 867, complexity: 36;
Law #172: 925, complexity: 48;
Law #173: 920, complexity: 52;
Law #174: 726, complexity: 51;
Law #175: 967, complexity: 53;
Law #176: 347, complexity: 22;
--------------------------------PEOPLE--------------------------------
Person #0
Wants to be in party: 1
Strategy of voting: party_voting
Votes for:
	Law #1 Criterion: 61;
	Law #2 Criterion: 1277;
	Law #5 Criterion: 607;
	Law #6 Criterion: 71;
	Law #10 Criterion: 523;
	Law #11 Criterion: 409;
	Law #12 Criterion: 113;
	Law #13 Criterion: 137;
	Law #17 Criterion: 1423;
	Law #18 Criterion: 1117;
	Law #20 Criterion: 349;
	Law #21 Criterion: 1669;
	Law #24 Criterion: 1091;
	Law #25 Criterion: 1319;
	Law #26 Criterion: 1367;
	Law #27 Criterion: 1663;
	Law #28 Criterion: 61;
	Law #30 Criterion: 409;
	Law #32 Criterion: 457;
	Law #33 Criterion: 269;
	Law #35 Criterion: 467;
	Law #36 Criterion: 1993;
	Law #38 Criterion: 359;
	Law #42 Criterion: 1181;
	Law #43 Criterion: 1301;
	Law #44 Criterion: 677;
	Law #46 Criterion: 1061;
	Law #47 Criterion: 313;
	Law #48 Criterion: 1787;
	Law #49 Criterion: 787;
	Law #54 Criterion: 17;
	Law #55 Criterion: 829;
	Law #57 Criterion: 463;
	Law #58 Criterion: 1801;
	Law #59 Criterion: 103;
	Law #65 Criterion: 1499;
	Law #67 Criterion: 307;
	Law #68 Criterion: 661;
	Law #69 Criterion: 263;
	Law #70 Criterion: 1381;
	Law #71 Criterion: 887;
	Law #73 Criterion: 421;
	Law #75 Criterion: 1091;
	Law #76 Criterion: 1931;
	Law #80 Criterion: 1283;
	Law #82 Criterion: 107;
	Law #87 Criterion: 173;
	Law #88 Criterion: 1091;
	Law #91 Criterion: 1867;
	Law #92 Criterion: 499;
	Law #93 Criterion: 491;
	Law #94 Criterion: 1511;
	Law #95 Criterion: 1669;
	Law #97 Criterion: 1559;
	Law #98 Criterion: 47;
	Law #99 Criterion: 631;
	Law #100 Criterion: 977;
	Law #101 Criterion: 1087;
	Law #105 Criterion: 1487;
	Law #106 Criterion: 523;
	Law #109 Criterion: 31;
	Law #110 Criterion: 821;
	Law #111 Criterion: 1153;
	Law #116 Criterion: 1627;
	Law #120 Criterion: 967;
	Law #125 Criterion: 1571;
	Law #126 Criterion: 971;
	Law #128 Criterion: 1223;
	Law #131 Criterion: 73;
	Law #132 Criterion: 1123;
	Law #136 Criterion: 919;
	Law #138 Criterion: 1187;
	Law #140 Criterion: 1499;
	Law #141 Criterion: 857;
	Law #145 Criterion: 23;
	Law #146 Criterion: 1217;
	Law #149 Criterion: 1831;
	Law #150 Criterion: 1483;
	Law #152 Criterion: 751;
	Law #154 Criterion: 397;
	Law #156 Criterion: 31;
	Law #157 Criterion: 1831;
	Law #160 Criterion: 1601;
	Law #162 Criterion: 1117;
	Law #163 Criterion: 1447;
	Law #164 Criterion: 23;
	Law #170 Criterion: 1283;
	Law #172 Criterion: 1231;
	Law #176 Criterion: 11;
Person #1
Wants to be in party: 1
Strategy of voting: own_voting
Votes for:
	Law #0 Criterion: 487;
	Law #3 Criterion: 283;
	Law #4 Criterion: 109;
	Law #5 Criterion: 881;
	Law #7 Criterion: 107;
	Law #8 Criterion: 809;
	Law #12 Criterion: 857;
	Law #18 Criterion: 1637;
	Law #19 Criterion: 359;
	Law #21 Criterion: 373;
	Law #22 Criterion: 1277;
	Law #24 Criterion: 1621;
	Law #25 Criterion: 1811;
	Law #27 Criterion: 1151;
	Law #29 Criterion: 1069;
	Law #30 Criterion: 617;
	Law #32 Criterion: 1201;
	Law #33 Criterion: 1753;
	Law #35 Criterion: 1609;
	Law #36 Criterion: 883;
	Law #38 Criterion: 31;
	Law #39 Criterion: 1399;
	Law #41 Criterion: 1723;
	Law #44 Criterion: 11;
	Law #45 Criterion: 1871;
	Law #46 Criterion: 337;
	Law #48 Criterion: 307;
	Law #53 Criterion: 821;
	Law #54 Criterion: 641;
	Law #56 Criterion: 863;
	Law #57 Criterion: 839;
	Law #59 Criterion: 887;
	Law #60 Criterion: 877;
	Law #67 Criterion: 1123;
	Law #68 Criterion: 857;
	Law #70 Criterion: 439;
	Law #74 Criterion: 1361;
	Law #76 Criterion: 113;
	Law #78 Criterion: 1613;
	Law #79 Criterion: 757;
	Law #80 Criterion: 1637;
	Law #86 Criterion: 61;
	Law #89 Criterion: 1759;
	Law #91 Criterion: 1307;
	Law #92 Criterion: 83;
	Law #93 Criterion: 1999;
	Law #94 Criterion: 173;
